,stock,signifier,content,EasternDT,Hours,initialSentiment,enchancedSentiment,channel,server,positiveScore,neutralScore,negativeScore,month,year,prediction
28,cold,Americold Realty Trust Common Shares,"> <@!629362548919107584> don't get too greedy, unrealized until then
<@!663395442645663764> yessir. i've been scalping more lol. I like my cold hard cash more then a contract 👀",2020-11-19 12:40:17.390000-05:00,12.666666666666666,0.8562,0.8562,Profits,Trademates,0.596,0.596,0.046,11,2020,positive
29,pton,"Peloton Interactive, Inc. - Common Stock",Very nice PTON play from <@579205396166737921> !,2020-11-19 12:27:49.477000-05:00,12.45,0.7226,0.7226,Profits,Trademates,0.398,0.398,0.0,11,2020,positive
30,zm,"Zoom Video Communications, Inc. - Class A Common Stock",Quick ZM scalp,2020-11-18 16:48:11.950000-05:00,16.8,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
31,zm,"Zoom Video Communications, Inc. - Class A Common Stock",<@!300836254457659392> nailed it with ZM today,2020-11-18 15:22:33.013000-05:00,15.366666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
32,tsla,"Tesla, Inc.  - Common Stock",That tsla L should’ve been an $80 gain but I’m an idiot and thought I filled but I didn’t 😂,2020-11-18 15:11:28.975000-05:00,15.183333333333334,-0.5023,-0.296,Profits,Trademates,0.617,0.617,0.196,11,2020,negative
33,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share","Got a good fill on selling <@300836254457659392>'s NIO put, +12%",2020-11-18 14:33:24.261000-05:00,14.55,0.34,0.34,Profits,Trademates,0.614,0.614,0.132,11,2020,positive
34,zm,"Zoom Video Communications, Inc. - Class A Common Stock",ZM 💯,2020-11-18 14:32:34.909000-05:00,14.533333333333333,0.0,0.4588,Profits,Trademates,0.25,0.25,0.0,11,2020,positive
35,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",Baby nio gains,2020-11-18 12:45:11.432000-05:00,12.75,0.4404,0.4404,Profits,Trademates,0.408,0.408,0.0,11,2020,positive
36,tsla,"Tesla, Inc.  - Common Stock",runner TSLA - closed it with above profit,2020-11-18 12:07:05.791000-05:00,12.116666666666667,0.4404,0.4404,Profits,Trademates,0.674,0.674,0.0,11,2020,positive
37,fund,"Sprott Focus Trust, Inc. - Closed End Fund",Ferrari fund climbing,2020-11-17 12:56:50.331000-05:00,12.933333333333334,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
38,dkng,DraftKings Inc. - Class A Common Stock,Closed out some DKNG!  Thanks <@!464449226521313292>  Holding 2 more.,2020-11-17 12:25:01.537000-05:00,12.416666666666666,0.5399,0.5399,Profits,Trademates,0.668,0.668,0.0,11,2020,positive
39,bynd,"Beyond Meat, Inc. - Common stock",bynd scalp,2020-11-17 10:42:14.533000-05:00,10.7,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
40,cost,Costco Wholesale Corporation - Common Stock,Trimmed down from 9. My real cost is 1.62. 💎 hands.,2020-11-16 19:49:19.034000-05:00,19.816666666666666,0.0,0.4215,Profits,Trademates,0.781,0.781,0.0,11,2020,positive
41,plug,"Plug Power, Inc. - Common Stock",My PLUG swing <@!300836254457659392>,2020-11-16 16:03:48.282000-05:00,16.05,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
42,plug,"Plug Power, Inc. - Common Stock",My ass was clinched so tight I unloaded diamonds 💎 but I held the PLUG and came out with profit <@752335752376877132> <@!300836254457659392>,2020-11-13 14:30:42.746000-05:00,14.5,0.4389,0.5848,Profits,Trademates,0.672,0.672,0.089,11,2020,positive
43,pdd,Pinduoduo Inc. - American Depositary Shares,More PDD. quick 50 bucks,2020-11-13 11:53:07.543000-05:00,11.883333333333333,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
44,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",NIO Strangles : $1000 profit,2020-11-13 11:51:18.487000-05:00,11.85,0.4404,0.4404,Profits,Trademates,0.508,0.508,0.0,11,2020,positive
45,amzn,"Amazon.com, Inc. - Common Stock",<@!300836254457659392> sick calls on AMZN - up 20% on the day.,2020-11-13 11:36:05.168000-05:00,11.6,-0.5562,-0.5562,Profits,Trademates,0.715,0.715,0.285,11,2020,negative
46,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",NIO 160%,2020-11-13 09:59:19.698000-05:00,9.983333333333333,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
47,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",NIO 💸,2020-11-12 17:08:33.972000-05:00,17.133333333333333,0.0,0.3818,Profits,Trademates,0.278,0.278,0.0,11,2020,positive
48,plug,"Plug Power, Inc. - Common Stock",PLUG took 40%,2020-11-12 11:46:12.077000-05:00,11.766666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
49,acb,Aurora Cannabis Inc. Common Shares,ACB Club! Quick $90!,2020-11-11 18:37:43.606000-05:00,18.616666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
50,sino,"Sino-Global Shipping America, Ltd. - Common Stock","who bought SINO? I bought at 2.13, I'm that blip at 9:13:02; now at 3.84; high 4.75",2020-11-11 18:07:09.619000-05:00,18.116666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
51,acb,Aurora Cannabis Inc. Common Shares,ACB,2020-11-11 14:09:51.342000-05:00,14.15,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
52,baba,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,"two trades today, BABA and ZM <@!579205396166737921> taking lesser trades is the way to go",2020-11-11 13:31:49.846000-05:00,13.516666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
53,zm,"Zoom Video Communications, Inc. - Class A Common Stock","two trades today, BABA and ZM <@!579205396166737921> taking lesser trades is the way to go",2020-11-11 13:31:49.846000-05:00,13.516666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
54,acb,Aurora Cannabis Inc. Common Shares,Followed the boss man on two of his plays today for 140 dollar lunch money. I don’t believe in ACB but I believe in been 😂 It’s only 10 am. They’re already an open and closed signal for me time to enjoy Veterans Day. <@!579205396166737921>,2020-11-11 13:18:48.939000-05:00,13.3,0.7263,0.7988,Profits,Trademates,0.831,0.831,0.0,11,2020,positive
55,lyft,"Lyft, Inc. - Class A Common Stock",Thanks for the heads up on Lyft <@510239946527866913>,2020-11-11 10:04:00.673000-05:00,10.066666666666666,0.4404,0.4404,Profits,Trademates,0.707,0.707,0.0,11,2020,positive
56,bynd,"Beyond Meat, Inc. - Common stock","BYND scalp, <@!579205396166737921>",2020-11-10 13:05:58.918000-05:00,13.083333333333334,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
57,ago,Assured Guaranty Ltd. Common Stock,Leap from <@579205396166737921> awhile ago.,2020-11-09 09:55:39.424000-05:00,9.916666666666666,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
58,pton,"Peloton Interactive, Inc. - Common Stock",PTON profits - Thanks <@!579205396166737921>,2020-11-09 10:08:02.636000-05:00,10.133333333333333,0.7263,0.7263,Profits,Trademates,0.247,0.247,0.0,11,2020,positive
59,spy,SPDR S&P 500,1100% BOYS!!!! SPY SWING!!,2020-11-09 09:44:11.597000-05:00,9.733333333333333,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
60,ba,Boeing Company (The) Common Stock,BA swing,2020-11-06 16:56:48.749000-05:00,16.933333333333334,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
61,cost,Costco Wholesale Corporation - Common Stock,The SMH play I mentioned above. Had a diagonal on it. Sold calls against it for 75c to help offset costs. Been selling them to close. 2 left. So cost basis is about $2,2020-11-06 13:04:29.631000-05:00,13.066666666666666,0.1449,0.1449,Profits,Trademates,0.737,0.737,0.124,11,2020,positive
62,nflx,"Netflix, Inc. - Common Stock","NFLX break of 511, closed at 512. Didn't move fast enough and too spready.",2020-11-06 12:16:56.554000-05:00,12.266666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
63,uve,UNIVERSAL INSURANCE HOLDINGS INC Common Stock,<@579205396166737921> bet uve never seen this b 4,2020-11-06 10:54:09.296000-05:00,10.9,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
64,b,"Barnes Group, Inc. Common Stock",<@579205396166737921> bet uve never seen this b 4,2020-11-06 10:54:09.296000-05:00,10.9,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
65,plug,"Plug Power, Inc. - Common Stock","Bought the PLUG dip yesterday and then trimmed some contracts today, saving the rest for earnings report monday",2020-11-05 16:50:59.666000-05:00,16.833333333333332,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
66,qcom,QUALCOMM Incorporated - Common Stock,Took profits on this QCOM ER banger in the morning. over 1000%,2020-11-05 17:07:35.174000-05:00,17.116666666666667,0.4404,0.4404,Profits,Trademates,0.791,0.791,0.0,11,2020,positive
67,amd,"Advanced Micro Devices, Inc. - Common Stock",AMD over 100%,2020-11-06 09:41:27.582000-05:00,9.683333333333334,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
68,nio,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",Nio out at 130%,2020-11-05 14:23:21.966000-05:00,14.383333333333333,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
