,0,1,2,3
49,473893483011244062,ulfarsnaefeld#2191,"Up 15% on the whole account today thanks to this servers help and guidance!
Love you guys.",2020-11-30T14:48:33.681000+00:00
50,612337363326074936,Trademate#2515,<@473893483011244062> has reached level **6**!,2020-11-30T14:48:33.997000+00:00
51,702961272689524767,aalisub#9254,<@!579205396166737921> padding my stats,2020-11-30T15:16:18.906000+00:00
52,612337363326074936,Trademate#2515,<@488359813160501251> has reached level **17**!,2020-11-30T14:47:42.431000+00:00
53,473893483011244062,ulfarsnaefeld#2191,"Up 15% on the whole account today thanks to this servers help and guidance!
Love you guys.",2020-11-30T14:48:33.681000+00:00
54,612337363326074936,Trademate#2515,<@473893483011244062> has reached level **6**!,2020-11-30T14:48:33.997000+00:00
55,488359813160501251,Merente#5844,"Hell of a play, <@579205396166737921>",2020-11-30T14:47:42.309000+00:00
56,612337363326074936,Trademate#2515,<@488359813160501251> has reached level **17**!,2020-11-30T14:47:42.431000+00:00
57,473893483011244062,ulfarsnaefeld#2191,"Up 15% on the whole account today thanks to this servers help and guidance!
Love you guys.",2020-11-30T14:48:33.681000+00:00
58,612337363326074936,Trademate#2515,<@473893483011244062> has reached level **6**!,2020-11-30T14:48:33.997000+00:00
59,488359813160501251,Merente#5844,"Hell of a play, <@579205396166737921>",2020-11-30T14:47:42.309000+00:00
60,612337363326074936,Trademate#2515,<@488359813160501251> has reached level **17**!,2020-11-30T14:47:42.431000+00:00
61,473893483011244062,ulfarsnaefeld#2191,"Up 15% on the whole account today thanks to this servers help and guidance!
Love you guys.",2020-11-30T14:48:33.681000+00:00
62,612337363326074936,Trademate#2515,<@700305045152858112> has reached level **2**!,2020-11-30T00:14:12.273000+00:00
63,488359813160501251,Merente#5844,"Hell of a play, <@579205396166737921>",2020-11-30T14:47:42.309000+00:00
64,612337363326074936,Trademate#2515,<@488359813160501251> has reached level **17**!,2020-11-30T14:47:42.431000+00:00
65,560675627271979020,Alex06#5794,Just holding the freebie,2020-11-27T22:46:45.806000+00:00
66,612337363326074936,Trademate#2515,<@700305045152858112> has reached level **2**!,2020-11-30T00:14:12.273000+00:00
67,488359813160501251,Merente#5844,"Hell of a play, <@579205396166737921>",2020-11-30T14:47:42.309000+00:00
68,612337363326074936,Trademate#2515,<@488359813160501251> has reached level **17**!,2020-11-30T14:47:42.431000+00:00
69,354021275229749249,bigbag6927#0588,<@703659646279483503> <@!579205396166737921> 💯🤞🏾,2020-11-27T20:07:34.307000+00:00
70,560675627271979020,Alex06#5794,Just holding the freebie,2020-11-27T22:46:45.806000+00:00
71,612337363326074936,Trademate#2515,<@700305045152858112> has reached level **2**!,2020-11-30T00:14:12.273000+00:00
72,488359813160501251,Merente#5844,"Hell of a play, <@579205396166737921>",2020-11-30T14:47:42.309000+00:00
73,354021275229749249,bigbag6927#0588,<@703659646279483503> <@!579205396166737921> 💯🤞🏾,2020-11-27T20:07:34.307000+00:00
74,560675627271979020,Alex06#5794,Just holding the freebie,2020-11-27T22:46:45.806000+00:00
75,612337363326074936,Trademate#2515,<@700305045152858112> has reached level **2**!,2020-11-30T00:14:12.273000+00:00
76,354021275229749249,bigbag6927#0588,<@703659646279483503> <@!579205396166737921> 💯🤞🏾,2020-11-27T20:07:34.307000+00:00
77,560675627271979020,Alex06#5794,Just holding the freebie,2020-11-27T22:46:45.806000+00:00
78,612337363326074936,Trademate#2515,<@700305045152858112> has reached level **2**!,2020-11-30T00:14:12.273000+00:00
79,354021275229749249,bigbag6927#0588,<@703659646279483503> <@!579205396166737921> 💯🤞🏾,2020-11-27T20:07:34.307000+00:00
80,560675627271979020,Alex06#5794,Just holding the freebie,2020-11-27T22:46:45.806000+00:00
81,354021275229749249,bigbag6927#0588,<@703659646279483503> <@!579205396166737921> 💯🤞🏾,2020-11-27T20:07:34.307000+00:00
82,579205396166737921,beenpippinsincebeenpippin#4039,Want gains like this? Take advantage of the sale in <#610387314140774400> @everyone,2020-11-27T18:08:22.122000+00:00
83,579205396166737921,beenpippinsincebeenpippin#4039,Want gains like this? Take advantage of the sale in <#610387314140774400> @everyone,2020-11-27T18:08:22.122000+00:00
84,579205396166737921,beenpippinsincebeenpippin#4039,Want gains like this? Take advantage of the sale in <#610387314140774400> @everyone,2020-11-27T18:08:22.122000+00:00
85,579205396166737921,beenpippinsincebeenpippin#4039,Want gains like this? Take advantage of the sale in <#610387314140774400> @everyone,2020-11-27T18:08:22.122000+00:00
86,579205396166737921,beenpippinsincebeenpippin#4039,Want gains like this? Take advantage of the sale in <#610387314140774400> @everyone,2020-11-27T18:08:22.122000+00:00
87,452988914215550997,OptionsFamBot#9520,`Error in command 'chart_d'. Check your console or logs for details.`,2020-11-27T17:43:25.925000+00:00
88,456926303640223775,mathdebater#6440,!cd beke,2020-11-27T17:43:22.926000+00:00
89,452988914215550997,OptionsFamBot#9520,`Error in command 'chart_d'. Check your console or logs for details.`,2020-11-27T17:43:25.925000+00:00
90,612337363326074936,Trademate#2515,<@223634339106127876> has reached level **1**!,2020-11-27T17:31:01.398000+00:00
91,456926303640223775,mathdebater#6440,!cd beke,2020-11-27T17:43:22.926000+00:00
92,452988914215550997,OptionsFamBot#9520,`Error in command 'chart_d'. Check your console or logs for details.`,2020-11-27T17:43:25.925000+00:00
93,223634339106127876,Lecrit#3469,<@!300836254457659392>,2020-11-27T17:31:01.145000+00:00
94,612337363326074936,Trademate#2515,<@223634339106127876> has reached level **1**!,2020-11-27T17:31:01.398000+00:00
95,456926303640223775,mathdebater#6440,!cd beke,2020-11-27T17:43:22.926000+00:00
96,452988914215550997,OptionsFamBot#9520,`Error in command 'chart_d'. Check your console or logs for details.`,2020-11-27T17:43:25.925000+00:00
97,223634339106127876,Lecrit#3469,<@!752335752376877132> TY,2020-11-27T15:58:55.323000+00:00
98,223634339106127876,Lecrit#3469,<@!300836254457659392>,2020-11-27T17:31:01.145000+00:00
99,612337363326074936,Trademate#2515,<@223634339106127876> has reached level **1**!,2020-11-27T17:31:01.398000+00:00
100,456926303640223775,mathdebater#6440,!cd beke,2020-11-27T17:43:22.926000+00:00
101,452988914215550997,OptionsFamBot#9520,`Error in command 'chart_d'. Check your console or logs for details.`,2020-11-27T17:43:25.925000+00:00
102,612337363326074936,Trademate#2515,<@713041265863688192> has reached level **5**!,2020-11-27T15:54:54.044000+00:00
103,223634339106127876,Lecrit#3469,<@!752335752376877132> TY,2020-11-27T15:58:55.323000+00:00
104,223634339106127876,Lecrit#3469,<@!300836254457659392>,2020-11-27T17:31:01.145000+00:00
105,612337363326074936,Trademate#2515,<@223634339106127876> has reached level **1**!,2020-11-27T17:31:01.398000+00:00
106,456926303640223775,mathdebater#6440,!cd beke,2020-11-27T17:43:22.926000+00:00
107,612337363326074936,Trademate#2515,<@713041265863688192> has reached level **5**!,2020-11-27T15:54:54.044000+00:00
108,223634339106127876,Lecrit#3469,<@!752335752376877132> TY,2020-11-27T15:58:55.323000+00:00
109,223634339106127876,Lecrit#3469,<@!300836254457659392>,2020-11-27T17:31:01.145000+00:00
