,Date,OPEN,HIGH,LOW,CLOSE,ADJ Close,Volume
0,2020-08-05,30.01,31.36,29.29,30.49,29.552230834960938,8179200
1,2020-08-06,30.27,30.47,29.04,29.11,28.214675903320312,5669800
2,2020-08-07,28.76,29.56,28.6,29.47,28.563602447509766,3068400
3,2020-08-10,29.69,30.73,29.65,30.22,29.29053497314453,3871100
4,2020-08-11,30.99,31.21,30.02,30.03,29.106380462646484,5251900
5,2020-08-12,30.65,31.08,29.69,29.94,29.019147872924805,5878200
6,2020-08-13,29.76,29.97,28.58,28.81,27.92390251159668,4313200
7,2020-08-14,28.82,29.95,28.59,29.49,28.582988739013672,3175500
8,2020-08-17,29.48,29.68,28.91,28.98,28.088672637939453,3152700
9,2020-08-18,28.98,29.13,27.97,28.08,27.216354370117188,5420700
10,2020-08-19,28.08,28.55,27.74,27.86,27.003122329711914,2736400
11,2020-08-20,27.5,27.85,27.24,27.55,26.702655792236328,2963900
12,2020-08-21,27.35,27.35,26.48,26.88,26.05326271057129,3851200
13,2020-08-24,27.0,27.49,26.58,27.26,26.42157554626465,3545000
14,2020-08-25,27.6,27.86,26.51,27.26,26.42157554626465,4236900
15,2020-08-26,27.23,27.34,26.46,26.56,25.743104934692383,4181000
16,2020-08-27,26.62,27.17,26.58,27.04,26.208343505859375,3168600
17,2020-08-28,27.63,28.26,27.25,28.08,27.216354370117188,3353100
18,2020-08-31,28.02,28.05,27.27,27.48,26.634807586669922,3497100
19,2020-09-01,27.25,27.52,26.86,27.15,26.314958572387695,3244900
20,2020-09-02,27.03,27.67,26.9,27.31,26.47003746032715,3003100
21,2020-09-03,27.3,27.85,26.57,26.91,26.082340240478516,3941100
22,2020-09-04,27.12,27.49,26.12,26.76,25.936954498291016,3426100
23,2020-09-08,26.34,26.49,25.53,26.15,25.345714569091797,4448600
24,2020-09-09,26.43,26.72,26.13,26.48,25.665565490722656,2850100
25,2020-09-10,26.64,26.84,26.01,26.03,25.229406356811523,3190800
26,2020-09-11,26.14,26.55,25.87,26.34,25.529870986938477,3256800
27,2020-09-14,26.58,27.62,26.34,27.3,26.460344314575195,4100000
28,2020-09-15,27.35,27.64,26.06,26.29,25.48141098022461,5131200
29,2020-09-16,26.52,28.46,26.46,28.07,27.206661224365234,4638000
30,2020-09-17,27.4,28.32,27.01,28.03,27.167892456054688,4414200
31,2020-09-18,27.77,27.87,27.17,27.54,26.692964553833008,8246000
32,2020-09-21,26.42,26.94,25.79,26.44,25.62679672241211,5262900
33,2020-09-22,26.79,27.37,25.58,25.67,24.880477905273438,4608600
34,2020-09-23,25.75,26.16,24.52,24.54,23.785234451293945,4809000
35,2020-09-24,24.65,24.99,23.28,24.48,23.72707748413086,5503600
36,2020-09-25,24.14,25.08,24.11,25.01,24.24077796936035,3508000
37,2020-09-28,25.48,26.26,25.27,26.01,25.21002197265625,3967100
38,2020-09-29,26.62,26.9,26.22,26.67,25.849721908569336,5829400
39,2020-09-30,26.61,27.27,25.89,25.98,25.18094253540039,5967900
40,2020-10-01,25.75,26.18,25.14,25.27,24.492780685424805,3733000
41,2020-10-02,24.63,26.74,24.56,26.53,25.714027404785156,4413500
42,2020-10-05,27.51,27.99,26.99,27.61,26.76081085205078,3806600
43,2020-10-06,28.2,28.44,26.56,27.06,26.227725982666016,4789600
44,2020-10-07,27.18,27.95,26.99,27.81,26.95465850830078,3377800
45,2020-10-08,28.08,29.44,27.68,29.41,28.505449295043945,4541800
46,2020-10-09,29.7,29.77,28.93,29.05,28.15652084350586,3762900
47,2020-10-12,29.02,29.3,28.72,29.17,28.272830963134766,2916000
48,2020-10-13,28.76,29.57,28.56,29.45,28.544219970703125,3796500
49,2020-10-14,29.48,30.65,29.43,29.95,29.028841018676758,4565500
50,2020-10-15,28.56,29.84,28.49,29.82,28.9028377532959,5486300
51,2020-10-16,29.83,29.93,28.89,28.9,28.011133193969727,3849900
52,2020-10-19,29.05,29.49,28.24,28.29,27.419897079467773,3966700
53,2020-10-20,28.8,29.38,28.48,28.92,28.030519485473633,3753600
54,2020-10-21,28.63,28.86,28.37,28.43,27.55558967590332,3035200
55,2020-10-22,28.6,30.8,28.57,30.67,29.726696014404297,5228700
56,2020-10-23,31.0,31.03,30.08,30.55,29.61038589477539,5381500
57,2020-10-26,30.13,30.17,29.1,29.51,28.602373123168945,5358200
58,2020-10-27,29.46,29.95,29.25,29.32,28.418216705322266,4699500
59,2020-10-28,30.34,30.62,28.13,29.09,28.19529151916504,8053700
60,2020-10-29,28.9,30.53,28.01,30.4,29.46500015258789,6073000
61,2020-10-30,29.4,29.74,28.26,29.0,29.0,5618600
62,2020-11-02,29.15,29.56,28.6,29.23,29.229999542236328,4531100
63,2020-11-03,29.59,29.95,28.87,28.92,28.920000076293945,4369900
64,2020-11-04,29.0,29.46,28.14,28.6,28.600000381469727,6195600
65,2020-11-05,28.59,29.1,28.26,28.54,28.540000915527344,4462700
66,2020-11-06,28.42,29.28,26.76,26.89,26.889999389648438,5948400
67,2020-11-09,29.75,31.96,29.5,31.35,31.350000381469727,10360900
68,2020-11-10,31.91,32.65,31.01,32.54,32.540000915527344,6096500
69,2020-11-11,33.0,33.15,31.81,32.12,32.119998931884766,4145200
70,2020-11-12,31.49,32.0,30.15,30.77,30.770000457763672,4237400
71,2020-11-13,31.37,31.93,30.85,31.66,31.65999984741211,3616600
72,2020-11-16,32.72,33.34,31.97,32.35,32.349998474121094,4764700
73,2020-11-17,31.91,33.32,31.72,33.31,33.310001373291016,3777600
74,2020-11-18,33.23,34.19,32.3,32.31,32.310001373291016,4443100
75,2020-11-19,31.92,33.44,31.62,33.3,33.29999923706055,3363600
76,2020-11-20,33.18,33.53,32.67,32.96,32.959999084472656,2743400
77,2020-11-23,33.51,35.22,33.44,35.18,35.18000030517578,3369100
78,2020-11-24,36.91,37.89,36.34,37.66,37.65999984741211,5659300
79,2020-11-25,37.3,38.44,36.6,37.54,37.540000915527344,4082700
80,2020-11-27,37.18,37.7,36.82,37.23,37.22999954223633,1554300
81,2020-11-30,36.81,37.21,35.6,35.87,35.869998931884766,5533100
82,2020-12-01,37.0,37.19,36.08,36.47,36.470001220703125,3280300
83,2020-12-02,36.13,37.95,36.1,37.47,37.470001220703125,3113000
84,2020-12-03,37.55,39.07,37.17,38.49,38.4900016784668,3526800
85,2020-12-04,39.47,40.71,39.43,40.63,40.630001068115234,3929000
