ID,Name,Message,Time,Datetime,Date,UnixTimeStamp,EasternDT,Mentions,IsBot
208746586233241600,Alpha190#0698,PLTR call came in clutch,04:50:30.495000,2020-11-26 04:50:30.495000+00:00,2020-11-26,1606366230.495,2020-11-25 23:50:30.495000-05:00,,Human
629362548919107584,ningning#8888,Lego,22:26:02.140000,2020-11-25 22:26:02.140000+00:00,2020-11-25,1606343162.14,2020-11-25 17:26:02.140000-05:00,,Human
612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,19:00:46.819000,2020-11-25 19:00:46.819000+00:00,2020-11-25,1606330846.819,2020-11-25 14:00:46.819000-05:00,<@119546878445486081>,Human
119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,19:00:46.647000,2020-11-25 19:00:46.647000+00:00,2020-11-25,1606330846.647,2020-11-25 14:00:46.647000-05:00,,Human
612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,18:10:19.518000,2020-11-25 18:10:19.518000+00:00,2020-11-25,1606327819.518,2020-11-25 13:10:19.518000-05:00,<@119546878445486081>,Human
119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,18:10:19.308000,2020-11-25 18:10:19.308000+00:00,2020-11-25,1606327819.308,2020-11-25 13:10:19.308000-05:00,,Human
726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,18:07:07.726000,2020-11-25 18:07:07.726000+00:00,2020-11-25,1606327627.726,2020-11-25 13:07:07.726000-05:00,<@!464449226521313292>,Human
488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,17:38:22.721000,2020-11-25 17:38:22.721000+00:00,2020-11-25,1606325902.721,2020-11-25 12:38:22.721000-05:00,,Human
488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,16:09:53.359000,2020-11-25 16:09:53.359000+00:00,2020-11-25,1606320593.359,2020-11-25 11:09:53.359000-05:00,<@464449226521313292>,Human
674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,14:55:54.026000,2020-11-25 14:55:54.026000+00:00,2020-11-25,1606316154.026,2020-11-25 09:55:54.026000-05:00,,Human
