,ticker,annualgrowthrate,lasteps,futureeps,peratio,FV,PV,marginprice,lastshareprice,decision,yrgrowth,growthdecision
0,net,0.422929420017725,-0.35,11.90972222222222,-48.74285561697824,-580.5138707160949,268.89024465852935,244.69012263926172,83.55000305175781,BUY,144.33,ShouldofSold
0,apps,-1.8131702729779564,0.16,0.020227160493827154,44.56250071525574,0.9013728539737651,0.41751003629695493,0.379934133030229,43.9900016784668,SELL,95.45,ShouldofBought
0,ups,-0.00908553376912583,5.14,4.691641353767917,22.7743185911661,106.84893490620036,49.49173085733631,45.037475080176044,166.38999938964844,SELL,17.09,ShouldofBought
0,spot,-0.037198832970414895,-1.15,0.7871616375963975,-130.04348091457203,-102.36523939545037,47.41491229420238,43.14757018772417,332.8599853515625,SELL,39.84,ShouldofSold
0,wwr,-0.5466620533465982,-5.39,0.0019761026346655575,-0.39146565771722175,-0.0007735763175960872,0.0003583155128470371,0.00032606711669080376,5.420000076293945,SELL,-10.41,ShouldofSold
0,ko,0.04340260412325705,2.09,3.196431847624386,26.483252858431147,84.65191286537886,39.210214793155586,35.68129546177158,53.18000030517578,SELL,9.84,ShouldofSold
0,v,0.14498381201488328,4.9,18.97533910743374,38.34693752989477,727.6461433613307,337.0409552349029,306.70726926376165,212.77000427246094,BUY,24.58,ShouldofBought
0,bill,0.31284338853825994,-0.39,5.931900000000717,-97.56410060784755,-578.7404883957608,268.06882551586614,243.9426312194382,131.55999755859375,BUY,163.56,ShouldofSold
0,sndl,1.990057776279745,-2.39,136519.19000011747,-1.2594142219511535,-171934.20945539963,79638.80619872923,72471.3136408436,0.5109999775886536,BUY,-56.91,ShouldofSold
0,gme,-2.072012219625772,-5.38,10.783993905818347,-1.130111509982538,-12.18711563654686,5.644992601383536,5.136943267259018,16.940000534057617,SELL,16.11,ShouldofSold
0,crm,-2.164658615779657,0.15,0.6887755102040816,1084.2666625976562,746.8163237279774,345.92045794614256,314.7876167309897,227.86000061035156,BUY,27.53,ShouldofBought
0,jks,-0.025318799134493513,3.07,2.3755505291417958,7.325732824468457,17.402648487517467,8.06079345484487,7.335322043908832,62.41999816894531,SELL,42.57,ShouldofBought
0,spce,-2.936748825733292,-1.09,809.3931250000086,-10.59633045021547,-8576.597016632648,3972.623888030772,3615.0877381080027,33.38999938964844,BUY,56.56,ShouldofSold
0,blue,0.2436521112741878,-14.31,126.65686917847006,-6.132075471698113,-776.669480811373,359.7482459059405,327.37090377440586,44.400001525878906,BUY,13.35,ShouldofSold
0,gnus,-0.15549270622430783,-1.25,0.2306450089158132,-0.2184000015258789,-0.050372870299149955,0.023332385498700654,0.021232470803817596,1.6100000143051147,SELL,58.12,ShouldofSold
0,dis,-1.7720526548386004,-1.58,0.11888478973765436,-91.53797777393196,-10.882473240663979,5.040690739331385,4.587028572791561,153.72000122070312,SELL,11.82,ShouldofSold
0,shop,0.29674411610965973,-1.1,14.788888888889073,-361.4363514293324,-5345.242041693859,2475.8813059490776,2253.0519884136606,1102.0899658203125,BUY,88.78,ShouldofSold
0,intc,0.14630521262850793,4.77,18.686202544722022,12.54716949143,234.45895047981776,108.59985908542102,98.82587176773313,50.689998626708984,BUY,15.95,ShouldofSold
0,pins,0.6829327181692992,-3.24,590.49,-5.753086231372974,-3397.1398887634273,1573.5330745879478,1431.9150978750326,69.91999816894531,BUY,91.24,ShouldofSold
0,nflx,0.7116001672165753,4.26,919.2482282996439,75.95540078033305,69821.86759711054,32341.034396892617,29430.341301172284,512.6599731445312,BUY,37.26,ShouldofBought
0,idex,0.19252361262748932,-0.82,4.7696193771716215,-1.04878050525014,-5.002283820240911,2.3170252910869666,2.10849301488914,2.1700000762939453,SELL,80.51,ShouldofSold
0,exas,-0.17844475483367642,-0.64,0.08964946479258576,-144.50000524520874,-12.954348132758799,6.000369697475863,5.460336424703035,133.52999877929688,SELL,76.98,ShouldofSold
0,plug,0.02383625553961839,-0.36,0.4556250000000386,-8.777778016196358,-3.999375108629804,1.8524845067253015,1.6857609011200245,28.739999771118164,SELL,80.45,ShouldofSold
0,hear,-1.691546080971215,1.24,0.031019366930445682,7.620967588117046,0.2363975899808363,0.10949782427803655,0.09964302009301326,20.15999984741211,SELL,57.07,ShouldofBought
0,cost,0.1104442456083238,9.05,25.799789241759843,32.47734955002589,837.9087735216319,388.11388750424436,353.18363762886236,377.6000061035156,SELL,21.69,ShouldofBought
0,wkhs,0.010678578404553872,-0.58,0.6449983471081352,-5.241379244574185,-3.380680949317236,1.5659094010156918,1.4249775549242796,21.360000610351562,SELL,83.73,ShouldofSold
0,snap,0.18572030488972244,-0.75,4.119873046877314,-21.773333231608074,-89.70336872158022,41.5500162510953,37.810514788496725,50.0,SELL,40.15,ShouldofSold
0,pton,-0.10904652813771068,-0.32,0.10085564789166673,-88.7499988079071,-8.950938630156122,4.146016485733958,3.7728750020179023,118.25,SELL,153.23,ShouldofSold
0,fsly,0.16465861577965757,-0.75,3.4438775510204342,-26.759999593098957,-92.15816186398945,42.68706044925419,38.845225008821316,97.9800033569336,SELL,136.42,ShouldofSold
0,msft,0.22381965752563399,5.82,43.86288892844428,27.096219406914464,1188.5184622262454,550.5140121716196,500.96775107617384,216.00999450683594,BUY,33.24,ShouldofBought
0,sq,-2.069124851069322,0.88,1.7169866465104568,71.09091065146707,122.06214427683696,56.53839037068408,51.449935237322514,213.00999450683594,SELL,72.18,ShouldofBought
0,acb,1.3432429037103417,-33.91,169239.17305123375,-0.7643762924297832,-129362.41163078454,59919.826670309805,54527.042269981925,10.600000381469727,BUY,63.35,ShouldofSold
