S&P 500 & Sectors,% Change
S&P 500,0.24
Communication Services,0.62
Consumer Discretionary,0.23
Consumer Staples,-0.06
Energy,-1.25
Financials,-0.42
Health Care,0.95
Industrials,-0.22
Information Technology,0.51
Materials,0.4
Real Estate,-0.22
Utilities,-0.96
